Dayofweek,Day,Month,Year,Hour,Minutes,Category,PdDistrict,X,Y
2,11,5,2015,20,55,16,8,-122.4078454,37.78509432
2,11,5,2015,20,55,3,8,-122.4078454,37.78509432
2,11,5,2015,20,48,1,8,-122.4132375,37.78284302
2,11,5,2015,20,45,9,9,-122.4192082,37.76023408
2,11,5,2015,20,45,9,9,-122.4192082,37.76023408
2,11,5,2015,20,36,2,4,-122.3879274,37.74270308
2,11,5,2015,20,35,3,1,-122.4206917,37.79057707
2,11,5,2015,20,33,6,9,-122.4350029,37.76088781
2,11,5,2015,20,30,6,2,-122.4408795,37.77753219
2,11,5,2015,20,30,4,2,-122.4412045,37.77079475
2,11,5,2015,20,19,1,8,-122.4115931,37.78305295
2,11,5,2015,20,19,11,8,-122.4115931,37.78305295
2,11,5,2015,20,15,10,4,-122.4030394,37.76024657
2,11,5,2015,20,15,8,7,-122.4820855,37.75864854
2,11,5,2015,20,10,4,7,-122.4701044,37.74142371
2,11,5,2015,20,5,3,10,-122.3985939,37.79056962
2,11,5,2015,20,0,3,2,-122.446613,37.78224582
2,11,5,2015,20,0,4,3,-122.4214483,37.74091155
2,11,5,2015,20,0,3,2,-122.4592387,37.7553268
2,11,5,2015,20,0,5,7,-122.4623492,37.72509921
2,11,5,2015,20,0,10,2,-122.4437959,37.77524304
2,11,5,2015,20,0,3,8,-122.4096862,37.78620421
2,11,5,2015,20,0,4,2,-122.4398466,37.77664424
2,11,5,2015,20,0,7,3,-122.406759,37.74876723
2,11,5,2015,20,0,3,1,-122.4245198,37.79284128
2,11,5,2015,19,55,2,10,-122.4112792,37.77157858
2,11,5,2015,19,45,19,10,-122.4076335,37.78418935
2,11,5,2015,19,45,8,9,-122.4344469,37.76086707
2,11,5,2015,19,45,19,10,-122.4076335,37.78418935
2,11,5,2015,19,45,6,3,-122.4239603,37.72386865
2,11,5,2015,19,45,3,10,-122.4076335,37.78418935
2,11,5,2015,19,44,3,9,-122.4140333,37.76215866
2,11,5,2015,19,32,1,10,-122.4112792,37.77157858
2,11,5,2015,19,32,18,10,-122.4112792,37.77157858
2,11,5,2015,19,32,6,10,-122.4112792,37.77157858
2,11,5,2015,19,30,6,6,-122.4097917,37.79850835
2,11,5,2015,19,30,3,9,-122.4251209,37.76315281
2,11,5,2015,19,30,2,5,-122.5034712,37.77168767
2,11,5,2015,19,30,4,6,-122.4075398,37.79224918
2,11,5,2015,19,30,3,1,-122.4221395,37.78941076
2,11,5,2015,19,20,18,3,-122.4401405,37.72289296
2,11,5,2015,19,20,18,3,-122.4401405,37.72289296
2,11,5,2015,19,19,6,10,-122.3998338,37.78104322
2,11,5,2015,19,15,3,10,-122.4155672,37.77403392
2,11,5,2015,19,15,3,10,-122.4155672,37.77403392
2,11,5,2015,19,15,3,6,-122.4105247,37.80744512
2,11,5,2015,19,15,8,4,-122.3815608,37.73812418
2,11,5,2015,19,15,7,4,-122.3815608,37.73812418
2,11,5,2015,19,10,10,7,-122.4754586,37.7421055
2,11,5,2015,19,7,2,4,-122.3865942,37.72781834
2,11,5,2015,19,7,9,4,-122.3865942,37.72781834
2,11,5,2015,19,7,9,4,-122.3865942,37.72781834
2,11,5,2015,19,7,14,4,-122.3865942,37.72781834
2,11,5,2015,19,7,3,10,-122.4039191,37.7871161
2,11,5,2015,19,7,9,4,-122.3865942,37.72781834
2,11,5,2015,19,0,3,6,-122.4105247,37.80744512
2,11,5,2015,19,0,10,9,-122.4307837,37.75144796
2,11,5,2015,19,0,10,9,-122.4190004,37.74904383
2,11,5,2015,19,0,3,2,-122.4406711,37.77648328
2,11,5,2015,19,0,3,3,-122.4124638,37.74729205
2,11,5,2015,19,0,2,9,-122.4213554,37.75937227
2,11,5,2015,19,0,3,9,-122.4099973,37.76048534
2,11,5,2015,19,0,3,2,-122.4435079,37.77808926
2,11,5,2015,19,0,3,6,-122.4159472,37.80054586
2,11,5,2015,18,59,6,7,-122.4756443,37.74305055
2,11,5,2015,18,59,2,7,-122.4863816,37.75753885
2,11,5,2015,18,59,6,7,-122.4863816,37.75753885
2,11,5,2015,18,58,9,3,-122.4404618,37.71802736
2,11,5,2015,18,58,9,3,-122.4404618,37.71802736
2,11,5,2015,18,58,27,3,-122.4386951,37.71969203
2,11,5,2015,18,58,1,3,-122.4386951,37.71969203
2,11,5,2015,18,50,3,5,-122.4649447,37.77438417
2,11,5,2015,18,40,4,10,-122.4126203,37.77702593
2,11,5,2015,18,30,3,6,-122.4043871,37.80607839
2,11,5,2015,18,30,3,2,-122.4447555,37.78163133
2,11,5,2015,18,30,19,7,-122.4582596,37.72401558
2,11,5,2015,18,30,2,7,-122.4582596,37.72401558
2,11,5,2015,18,27,1,4,-122.3903603,37.72050646
2,11,5,2015,18,27,1,4,-122.3903603,37.72050646
2,11,5,2015,18,24,2,10,-122.4034048,37.77542071
2,11,5,2015,18,20,3,7,-122.4779767,37.72693464
2,11,5,2015,18,19,5,10,-122.4166673,37.77212328
2,11,5,2015,18,18,8,9,-122.4089834,37.75198704
2,11,5,2015,18,18,16,9,-122.4089834,37.75198704
2,11,5,2015,18,18,5,9,-122.4089834,37.75198704
2,11,5,2015,18,15,3,1,-122.4329146,37.78435334
2,11,5,2015,18,2,1,10,-122.4129331,37.77392745
2,11,5,2015,18,2,14,10,-122.4129331,37.77392745
2,11,5,2015,18,2,14,10,-122.4129331,37.77392745
2,11,5,2015,18,0,3,6,-122.4105247,37.80744512
2,11,5,2015,18,0,3,3,-122.4221604,37.72477981
2,11,5,2015,18,0,5,10,-122.4034048,37.77542071
2,11,5,2015,18,0,23,2,-122.4361973,37.78378829
2,11,5,2015,18,0,4,5,-122.508194,37.77660126
2,11,5,2015,18,0,2,6,-122.4149967,37.78745307
2,11,5,2015,18,0,4,9,-122.4212874,37.7488499
2,11,5,2015,18,0,3,10,-122.406482,37.78273179
2,11,5,2015,18,0,3,10,-122.4112792,37.77157858
2,11,5,2015,17,59,18,4,-122.388275,37.74004674
2,11,5,2015,17,59,18,4,-122.388275,37.74004674
2,11,5,2015,17,50,3,3,-122.4526193,37.71168739
2,11,5,2015,17,45,13,10,-122.406521,37.78506294
2,11,5,2015,17,45,3,10,-122.4141202,37.7741613
2,11,5,2015,17,44,14,9,-122.4054679,37.78192411
2,11,5,2015,17,44,16,9,-122.4054679,37.78192411
2,11,5,2015,17,44,9,9,-122.4054679,37.78192411
2,11,5,2015,17,41,2,4,-122.3927758,37.73307817
2,11,5,2015,17,35,3,7,-122.4647193,37.75663012
2,11,5,2015,17,30,4,3,-122.4554234,37.7425307
2,11,5,2015,17,30,3,6,-122.4015481,37.79295092
2,11,5,2015,17,30,4,10,-122.3964115,37.77918761
2,11,5,2015,17,30,3,9,-122.4283554,37.76125771
2,11,5,2015,17,19,6,2,-122.4591724,37.74728668
2,11,5,2015,17,11,8,10,-122.4186983,37.77558941
2,11,5,2015,17,10,8,3,-122.4171448,37.71215029
2,11,5,2015,17,10,6,3,-122.4171448,37.71215029
2,11,5,2015,17,8,3,10,-122.4076335,37.78418935
2,11,5,2015,17,0,3,7,-122.4681175,37.73890001
2,11,5,2015,17,0,5,4,-122.3892863,37.73109989
2,11,5,2015,17,0,8,8,-122.4078454,37.78509432
2,11,5,2015,17,0,3,9,-122.4095299,37.76571844
2,11,5,2015,17,0,4,2,-122.4392229,37.77774275
2,11,5,2015,17,0,4,5,-122.4636197,37.78770587
2,11,5,2015,17,0,4,1,-122.4206907,37.79896889
2,11,5,2015,17,0,4,1,-122.4275473,37.77438749
2,11,5,2015,16,55,8,10,-122.4147143,37.77623104
2,11,5,2015,16,30,8,8,-122.4101352,37.78418891
2,11,5,2015,16,30,3,4,-122.386775,37.76537752
2,11,5,2015,16,20,2,6,-122.3981953,37.79337819
2,11,5,2015,16,15,4,3,-122.4171448,37.71215029
2,11,5,2015,16,0,2,4,-122.3961676,37.76382349
2,11,5,2015,16,0,19,6,-122.405284,37.79655105
2,11,5,2015,16,0,18,10,-122.4079992,37.77782417
2,11,5,2015,16,0,20,3,-122.4262221,37.71001904
2,11,5,2015,16,0,18,10,-122.4079992,37.77782417
2,11,5,2015,16,0,1,5,-122.4965054,37.77195265
2,11,5,2015,16,0,2,5,-122.4965054,37.77195265
2,11,5,2015,16,0,11,5,-122.4993421,37.78129688
2,11,5,2015,16,0,2,6,-122.405284,37.79655105
2,11,5,2015,16,0,10,5,-122.4965054,37.77195265
2,11,5,2015,16,0,4,9,-122.4215191,37.75366149
2,11,5,2015,16,0,3,6,-122.4047716,37.79066776
2,11,5,2015,15,50,6,10,-122.4034048,37.77542071
2,11,5,2015,15,50,8,10,-122.4034048,37.77542071
2,11,5,2015,15,50,8,10,-122.4034048,37.77542071
2,11,5,2015,15,45,3,6,-122.4007866,37.79577999
2,11,5,2015,15,44,16,9,-122.4126011,37.74837696
2,11,5,2015,15,44,8,9,-122.4126011,37.74837696
2,11,5,2015,15,30,2,7,-122.4631316,37.72163421
2,11,5,2015,15,30,3,7,-122.4826711,37.74279814
2,11,5,2015,15,30,18,10,-122.3923085,37.77669228
2,11,5,2015,15,20,3,6,-122.4178548,37.80196979
2,11,5,2015,15,10,3,4,-122.4036529,37.76535366
2,11,5,2015,15,9,6,9,-122.4200705,37.764972
2,11,5,2015,15,0,3,6,-122.4106997,37.78698819
2,11,5,2015,15,0,4,4,-122.3927443,37.75436176
2,11,5,2015,15,0,4,1,-122.4239222,37.77729679
2,11,5,2015,15,0,6,2,-122.4586802,37.74815547
2,11,5,2015,15,0,3,1,-122.4218931,37.77989123
2,11,5,2015,14,51,15,10,-122.4059343,37.78229564
2,11,5,2015,14,51,1,10,-122.4059343,37.78229564
2,11,5,2015,14,51,2,10,-122.4059343,37.78229564
2,11,5,2015,14,49,8,10,-122.4179754,37.77375094
2,11,5,2015,14,49,5,10,-122.4179754,37.77375094
2,11,5,2015,14,49,1,10,-122.4179754,37.77375094
2,11,5,2015,14,46,3,6,-122.4060002,37.78854062
2,11,5,2015,14,44,3,9,-122.4209336,37.75570245
2,11,5,2015,14,33,6,7,-122.4548216,37.71568976
2,11,5,2015,14,30,3,1,-122.4280017,37.78538541
2,11,5,2015,14,30,3,10,-122.4039713,37.78482831
2,11,5,2015,14,30,3,10,-122.4039713,37.78482831
2,11,5,2015,14,30,2,7,-122.4701368,37.72462842
2,11,5,2015,14,30,3,10,-122.4097388,37.7703482
2,11,5,2015,14,21,23,8,-122.4129991,37.78627746
2,11,5,2015,14,21,6,8,-122.4129991,37.78627746
2,11,5,2015,14,20,3,6,-122.409017,37.79948807
2,11,5,2015,14,20,19,6,-122.409017,37.79948807
2,11,5,2015,14,20,3,10,-122.4042702,37.78447885
2,11,5,2015,14,15,8,1,-122.4190171,37.78193603
2,11,5,2015,14,10,2,10,-122.4080683,37.78399168
2,11,5,2015,12,0,3,2,-122.4478791,37.77466586
2,11,5,2015,11,59,10,4,-122.4013659,37.75130744
2,11,5,2015,11,57,2,8,-122.4117783,37.78398056
2,11,5,2015,11,52,5,5,-122.4644198,37.7819577
2,11,5,2015,11,45,21,5,-122.4584907,37.78379515
2,11,5,2015,11,45,18,5,-122.4584907,37.78379515
2,11,5,2015,11,45,3,4,-122.3729261,37.73045996
2,11,5,2015,11,40,6,1,-122.4345615,37.80480116
2,11,5,2015,11,40,2,9,-122.4126901,37.74936883
2,11,5,2015,11,30,14,2,-122.4586802,37.74815547
2,11,5,2015,11,20,3,10,-122.4098458,37.77524071
2,11,5,2015,11,20,14,10,-122.4098458,37.77524071
2,11,5,2015,11,20,1,10,-122.4098458,37.77524071
2,11,5,2015,11,10,6,10,-122.4154442,37.77802457
2,11,5,2015,11,10,3,10,-122.4034048,37.77542071
2,11,5,2015,11,0,11,2,-122.4430314,37.76411289
2,11,5,2015,11,0,18,10,-122.413046,37.77386178
2,11,5,2015,11,0,18,10,-122.413046,37.77386178
2,11,5,2015,11,0,19,9,-122.4263414,37.76257931
2,11,5,2015,11,0,19,9,-122.4263414,37.76257931
2,11,5,2015,11,0,3,5,-122.4935882,37.77594071
2,11,5,2015,11,0,18,3,-122.4334219,37.73038971
2,11,5,2015,0,1,3,1,-122.4235803,37.77627128
2,11,5,2015,0,1,3,2,-122.4409428,37.76136589
2,11,5,2015,0,1,5,1,-122.4173124,37.78191323
2,11,5,2015,0,1,2,8,-122.4119876,37.78502266
2,11,5,2015,0,1,2,5,-122.4923745,37.78167415
1,3,5,2015,23,46,8,10,-122.3998338,37.78104322
1,3,5,2015,23,46,8,10,-122.3998338,37.78104322
1,3,5,2015,23,46,5,10,-122.3998338,37.78104322
1,3,5,2015,23,35,9,4,-122.3792138,37.73236862
1,3,5,2015,23,20,8,1,-122.4438964,37.80085417
1,3,5,2015,23,18,11,10,-122.3655654,37.8096707
1,3,5,2015,23,18,11,2,-122.4464727,37.77580159
1,3,5,2015,23,3,2,3,-122.4402533,37.71604001
1,3,5,2015,23,2,8,1,-122.4455311,37.80053487
1,3,5,2015,23,0,3,3,-122.4193723,37.74041369
1,3,5,2015,23,0,5,10,-122.403891,37.78240141
1,3,5,2015,23,0,4,3,-122.4235483,37.72682302
1,3,5,2015,23,0,3,6,-122.4105006,37.80696307
1,3,5,2015,23,0,5,6,-122.4105006,37.80696307
1,3,5,2015,23,0,3,6,-122.4105006,37.80696307
1,3,5,2015,23,0,5,6,-122.4105006,37.80696307
1,3,5,2015,23,0,3,1,-122.4232775,37.80341242
1,3,5,2015,23,0,5,10,-122.4004736,37.78502906
1,3,5,2015,22,55,18,10,-122.4079992,37.77782417
1,3,5,2015,22,55,18,10,-122.4079992,37.77782417
1,3,5,2015,22,50,8,8,-122.4177103,37.78423629
1,3,5,2015,22,45,3,7,-122.4731357,37.75156462
1,3,5,2015,22,40,2,9,-122.4215984,37.75204775
1,3,5,2015,22,30,6,9,-122.4065391,37.75648641
1,3,5,2015,22,30,11,9,-122.4065391,37.75648641
1,3,5,2015,22,30,3,3,-122.425479,37.72023256
1,3,5,2015,22,15,5,2,-122.4457903,37.7646916
1,3,5,2015,22,0,4,4,-122.3980104,37.71291556
1,3,5,2015,22,0,3,10,-122.4140273,37.77186362
1,3,5,2015,21,44,2,4,-122.388753,37.74073605
1,3,5,2015,21,35,3,10,-122.3890406,37.78432123
1,3,5,2015,21,30,6,9,-122.4065391,37.75648641
1,3,5,2015,21,30,4,9,-122.4074302,37.7638215
1,3,5,2015,21,25,2,1,-122.4248305,37.79850023
1,3,5,2015,21,25,2,4,-122.4007846,37.72361678
1,3,5,2015,21,15,6,7,-122.4759645,37.74582688
1,3,5,2015,21,15,11,9,-122.4218864,37.76491789
1,3,5,2015,21,15,5,9,-122.4218864,37.76491789
1,3,5,2015,21,13,28,7,-122.4748295,37.72397582
1,3,5,2015,21,0,6,9,-122.4165727,37.75635629
1,3,5,2015,21,0,18,2,-122.4413937,37.77172731
1,3,5,2015,21,0,18,2,-122.4413937,37.77172731
1,3,5,2015,21,0,4,3,-122.4192428,37.73398396
1,3,5,2015,21,0,10,9,-122.4074302,37.7638215
1,3,5,2015,21,0,4,9,-122.4387348,37.75302717
1,3,5,2015,21,0,3,7,-122.4695468,37.75356504
1,3,5,2015,21,0,4,10,-122.4049344,37.78149872
1,3,5,2015,20,55,8,9,-122.411589,37.75431332
1,3,5,2015,20,55,8,9,-122.411589,37.75431332
1,3,5,2015,20,45,4,7,-122.4701044,37.74142371
1,3,5,2015,20,43,3,10,-122.40307,37.78526863
1,3,5,2015,20,30,4,5,-122.4677645,37.78371438
1,3,5,2015,20,28,5,7,-122.4654189,37.71881834
1,3,5,2015,20,21,4,1,-122.4220772,37.79320618
1,3,5,2015,20,6,11,2,-122.4533546,37.76824631
1,3,5,2015,20,6,2,2,-122.4533546,37.76824631
1,3,5,2015,20,5,3,2,-122.4383383,37.7690066
1,3,5,2015,20,0,3,6,-122.4097236,37.80711542
1,3,5,2015,20,0,23,10,-122.3923498,37.79264509
1,3,5,2015,20,0,3,10,-122.4112719,37.77603295
1,3,5,2015,20,0,3,6,-122.4065367,37.79134196
1,3,5,2015,20,0,2,8,-122.4171468,37.78144635
1,3,5,2015,19,55,9,8,-122.4136093,37.78469691
1,3,5,2015,19,55,14,8,-122.4136093,37.78469691
1,3,5,2015,19,55,1,9,-122.4152719,37.76419691
1,3,5,2015,19,55,9,8,-122.4136093,37.78469691
1,3,5,2015,19,51,14,8,-122.4138932,37.78234652
1,3,5,2015,19,51,2,8,-122.4138932,37.78234652
1,3,5,2015,19,51,1,8,-122.4138932,37.78234652
1,3,5,2015,19,40,2,4,-122.3922364,37.72622388
1,3,5,2015,19,30,16,10,-122.4034048,37.77542071
1,3,5,2015,19,30,2,10,-122.4034048,37.77542071
1,3,5,2015,19,30,3,10,-122.4034048,37.77542071
1,3,5,2015,19,30,3,10,-122.4034048,37.77542071
1,3,5,2015,19,30,23,10,-122.4221883,37.77269482
1,3,5,2015,19,30,8,6,-122.4119531,37.80582429
1,3,5,2015,19,30,3,10,-122.3980634,37.77956585
1,3,5,2015,19,26,11,9,-122.4179492,37.76972086
1,3,5,2015,19,25,3,10,-122.4135641,37.77951403
1,3,5,2015,19,20,5,2,-122.4520559,37.77031154
1,3,5,2015,19,15,3,6,-122.4051988,37.805247
1,3,5,2015,19,12,6,6,-122.4075217,37.79838308
1,3,5,2015,19,5,2,8,-122.4158851,37.78351606
1,3,5,2015,19,5,3,9,-122.4179645,37.75869682
1,3,5,2015,19,5,14,8,-122.4158851,37.78351606
1,3,5,2015,19,5,12,8,-122.4158851,37.78351606
1,3,5,2015,19,3,2,9,-122.4177567,37.76981424
1,3,5,2015,19,0,3,7,-122.4736864,37.75743507
1,3,5,2015,19,0,4,9,-122.4389076,37.75481625
1,3,5,2015,19,0,3,7,-122.5052709,37.75201369
1,3,5,2015,19,0,6,5,-122.4918433,37.78164606
1,3,5,2015,19,0,2,1,-122.4307492,37.79864806
1,3,5,2015,19,0,4,3,-122.4333869,37.72977503
1,3,5,2015,19,0,3,1,-122.4267565,37.80393523
1,3,5,2015,18,58,6,9,-122.4351501,37.76175972
1,3,5,2015,18,55,6,2,-122.4484141,37.76933101
1,3,5,2015,18,45,3,1,-122.4393685,37.79993194
1,3,5,2015,18,45,3,10,-122.404385,37.77219582
1,3,5,2015,18,45,3,6,-122.4002527,37.80060752
1,3,5,2015,18,39,2,1,-122.4224673,37.78268373
1,3,5,2015,18,39,2,1,-122.4224673,37.78268373
1,3,5,2015,18,35,1,1,-122.4321682,37.78097996
1,3,5,2015,18,30,18,1,-122.4461169,37.80344058
1,3,5,2015,18,30,3,10,-122.4076335,37.78418935
1,3,5,2015,18,30,3,1,-122.4330299,37.7765502
1,3,5,2015,18,30,3,1,-122.4395049,37.80040249
1,3,5,2015,18,30,3,6,-122.4103138,37.80602666
1,3,5,2015,18,3,3,5,-122.4725736,37.77684285
1,3,5,2015,18,0,1,6,-122.4064296,37.80656886
1,3,5,2015,18,0,2,6,-122.4064296,37.80656886
1,3,5,2015,18,0,8,7,-122.4689994,37.71701289
1,3,5,2015,18,0,19,6,-122.4064296,37.80656886
1,3,5,2015,18,0,10,4,-122.3789208,37.72861197
1,3,5,2015,18,0,3,3,-122.438971,37.72169486
1,3,5,2015,18,0,5,10,-122.4005933,37.78760247
1,3,5,2015,18,0,3,1,-122.4257306,37.77791092
1,3,5,2015,18,0,4,9,-122.4317472,37.7494248
1,3,5,2015,18,0,3,7,-122.4942918,37.74875853
1,3,5,2015,18,0,3,3,-122.423804,37.73706654
1,3,5,2015,18,0,2,3,-122.4339846,37.72576292
1,3,5,2015,18,0,4,6,-122.4164521,37.78630869
1,3,5,2015,18,0,4,9,-122.4034091,37.75317799
1,3,5,2015,18,0,4,3,-122.4308426,37.73181653
1,3,5,2015,17,53,3,5,-122.4725736,37.77684285
1,3,5,2015,17,45,3,1,-122.441854,37.79920972
1,3,5,2015,17,45,3,6,-122.3963744,37.79805325
1,3,5,2015,17,36,3,8,-122.4072441,37.78656476
1,3,5,2015,17,36,2,8,-122.4072441,37.78656476
1,3,5,2015,17,36,16,8,-122.4072441,37.78656476
1,3,5,2015,17,30,3,5,-122.4662047,37.77254054
1,3,5,2015,17,30,10,7,-122.4974833,37.73058839
1,3,5,2015,17,30,4,4,-122.3877294,37.73123239
1,3,5,2015,17,25,8,6,-122.4058005,37.79212334
1,3,5,2015,17,25,8,6,-122.4058005,37.79212334
1,3,5,2015,17,23,3,6,-122.418277,37.80796245
1,3,5,2015,17,15,3,5,-122.4662047,37.77254054
1,3,5,2015,17,14,5,1,-122.4250056,37.77087544
1,3,5,2015,17,14,1,1,-122.4250056,37.77087544
1,3,5,2015,17,11,6,5,-122.4621413,37.78110989
1,3,5,2015,17,11,5,5,-122.4621413,37.78110989
1,3,5,2015,17,10,3,8,-122.4072441,37.78656476
1,3,5,2015,17,10,6,9,-122.4184482,37.75223917
1,3,5,2015,17,8,3,10,-122.4110162,37.77668935
1,3,5,2015,17,5,8,10,-122.4084211,37.78356994
1,3,5,2015,17,5,2,10,-122.4084211,37.78356994
1,3,5,2015,17,5,7,10,-122.4084211,37.78356994
1,3,5,2015,17,0,3,10,-122.3944384,37.77485333
1,3,5,2015,17,0,3,1,-122.4393685,37.79993194
1,3,5,2015,17,0,3,6,-122.4156992,37.80338896
1,3,5,2015,17,0,2,4,-122.3933313,37.72032569
1,3,5,2015,17,0,4,3,-122.4488492,37.72907252
1,3,5,2015,17,0,6,10,-122.3939837,37.79506077
1,3,5,2015,16,49,11,1,-122.41677,37.77958458
1,3,5,2015,16,30,7,3,-122.4244675,37.73606048
1,3,5,2015,16,30,2,3,-122.4244675,37.73606048
1,3,5,2015,16,30,6,1,-122.4245419,37.80130415
1,3,5,2015,16,30,3,6,-122.4019852,37.80323858
1,3,5,2015,16,15,3,10,-122.3655654,37.8096707
1,3,5,2015,16,12,2,4,-122.3983648,37.73719328
1,3,5,2015,16,12,9,4,-122.3983648,37.73719328
1,3,5,2015,16,12,15,4,-122.3983648,37.73719328
1,3,5,2015,16,3,8,7,-122.4660262,37.74092819
1,3,5,2015,16,0,3,10,-122.3655654,37.8096707
1,3,5,2015,16,0,10,6,-122.4156546,37.78646724
1,3,5,2015,16,0,25,6,-122.4138561,37.7942674
1,3,5,2015,16,0,6,6,-122.4110689,37.7888557
1,3,5,2015,16,0,5,10,-122.4034048,37.77542071
1,3,5,2015,16,0,5,10,-122.4034048,37.77542071
1,3,5,2015,16,0,3,1,-122.4268069,37.77113513
1,3,5,2015,16,0,11,3,-122.4307776,37.71853062
1,3,5,2015,15,55,19,5,-122.4525869,37.78646014
1,3,5,2015,15,40,19,1,-122.4171468,37.78144635
1,3,5,2015,15,34,6,3,-122.4301831,37.72986053
1,3,5,2015,15,30,6,4,-122.3994291,37.76234934
1,3,5,2015,15,30,3,7,-122.4977043,37.72473844
1,3,5,2015,15,30,3,1,-122.4224073,37.77408411
1,3,5,2015,15,30,3,2,-122.4552904,37.77092819
1,3,5,2015,15,25,3,8,-122.4063518,37.78603116
1,3,5,2015,15,25,5,8,-122.4063518,37.78603116
1,3,5,2015,15,19,6,5,-122.4924891,37.78229066
1,3,5,2015,15,14,3,8,-122.4129705,37.78578838
1,3,5,2015,15,8,6,5,-122.4669486,37.77427214
1,3,5,2015,15,5,3,10,-122.4025276,37.77603828
1,3,5,2015,15,5,19,10,-122.4025276,37.77603828
1,3,5,2015,15,4,3,10,-122.3883799,37.78331041
1,3,5,2015,15,0,11,3,-122.4113662,37.74779429
1,3,5,2015,15,0,3,3,-122.4113662,37.74779429
1,3,5,2015,15,0,3,10,-122.3952605,37.78170349
1,3,5,2015,15,0,23,10,-122.4179754,37.77375094
1,3,5,2015,15,0,3,10,-122.3959579,37.78360376
1,3,5,2015,15,0,6,9,-122.4181201,37.76030123
1,3,5,2015,15,0,3,5,-122.4690938,37.77325583
1,3,5,2015,15,0,4,7,-122.5006979,37.76251868
1,3,5,2015,15,0,3,1,-122.4210968,37.78429378
1,3,5,2015,14,45,3,6,-122.4000697,37.79968202
1,3,5,2015,14,30,3,1,-122.4312069,37.78456812
1,3,5,2015,14,30,19,1,-122.4312069,37.78456812
1,3,5,2015,14,22,3,1,-122.4341852,37.79027379
1,3,5,2015,14,15,4,9,-122.4206658,37.75210416
1,3,5,2015,13,40,6,2,-122.4533763,37.76871427
1,3,5,2015,13,35,6,8,-122.412597,37.78111921
1,3,5,2015,13,26,4,9,-122.4371821,37.75993828
1,3,5,2015,13,24,6,1,-122.426474,37.79829129
1,3,5,2015,13,24,1,8,-122.4113284,37.78599631
1,3,5,2015,13,24,2,8,-122.4113284,37.78599631
1,3,5,2015,13,15,3,10,-122.3655654,37.8096707
1,3,5,2015,13,13,1,8,-122.4093131,37.78434785
1,3,5,2015,13,0,4,7,-122.469858,37.70872364
1,3,5,2015,13,0,8,6,-122.4061066,37.79361439
